id,name,sex,age,height,weight,team,noc,year,city,sport,event,medal
148038,Yilamujiang Dinigeer,F,20,NA,NA,China,CHN,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres Skiathlon,NA
149165,Ian Quinn,M,28,NA,NA,United States,USA,2022,Beijing,Speed Skating,Speed Skating Men's Mass Start,NA
118530,Kaisa Mäkäräinen,F,35,171,58,Finland,FIN,2018,PyeongChang,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
118530,Kaisa Mäkäräinen,F,35,171,58,Finland,FIN,2018,PyeongChang,Biathlon,Biathlon Mixed 2 × 6 kilometres and 2 × 7.5 kilometres Relay,NA
118530,Kaisa Mäkäräinen,F,35,171,58,Finland,FIN,2018,PyeongChang,Biathlon,Biathlon Women's 10 kilometres Pursuit,NA
118530,Kaisa Mäkäräinen,F,35,171,58,Finland,FIN,2018,PyeongChang,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,NA
118530,Kaisa Mäkäräinen,F,35,171,58,Finland,FIN,2018,PyeongChang,Biathlon,Biathlon Women's 15 kilometres,NA
118530,Kaisa Mäkäräinen,F,35,171,58,Finland,FIN,2018,PyeongChang,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,NA
127538,Brianne Tutt,F,25,175,66,Canada,CAN,2018,PyeongChang,Speed Skating,"Speed Skating Women's 1,500 metres",NA
127538,Brianne Tutt,F,25,175,66,Canada,CAN,2018,PyeongChang,Speed Skating,"Speed Skating Women's 3,000 metres",NA
138211,Oscar Möller,M,29,178,82,Sweden,SWE,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
137561,Lee Gang-Bok,M,17,168,60,Republic of Korea,KOR,2018,PyeongChang,Freestyle Skiing,Freestyle Skiing Men's Halfpipe,NA
127328,Christina Hengster,F,32,177,72,Austria,AUT,2018,PyeongChang,Bobsleigh,Bobsleigh Women's Two,NA
148778,Artyom Maltsev,M,28,NA,NA,ROC,ROC,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
148778,Artyom Maltsev,M,28,NA,NA,ROC,ROC,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
148778,Artyom Maltsev,M,28,NA,NA,ROC,ROC,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres Skiathlon,NA
149066,Isabella Wright,F,24,NA,NA,United States,USA,2022,Beijing,Alpine Skiing,Alpine Skiing Women's Super G,NA
149066,Isabella Wright,F,24,NA,NA,United States,USA,2022,Beijing,Alpine Skiing,Alpine Skiing Women's Combined,NA
148675,Thomas Krol,M,29,NA,NA,Netherlands,NED,2022,Beijing,Speed Skating,Speed Skating Men's 500 metres,NA
148675,Thomas Krol,M,29,NA,NA,Netherlands,NED,2022,Beijing,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
148675,Thomas Krol,M,29,NA,NA,Netherlands,NED,2022,Beijing,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
110412,Tatjana Mannima,F,38,158,53,Estonia,EST,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
110412,Tatjana Mannima,F,38,158,53,Estonia,EST,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
110412,Tatjana Mannima,F,38,158,53,Estonia,EST,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
110412,Tatjana Mannima,F,38,158,53,Estonia,EST,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres Skiathlon,NA
137405,Stefan Thanei,M,36,184,85,Italy,ITA,2018,PyeongChang,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,NA
128187,Synnøve Solemdal,F,28,175,70,Norway,NOR,2018,PyeongChang,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
128187,Synnøve Solemdal,F,28,175,70,Norway,NOR,2018,PyeongChang,Biathlon,Biathlon Women's 10 kilometres Pursuit,NA
128187,Synnøve Solemdal,F,28,175,70,Norway,NOR,2018,PyeongChang,Biathlon,Biathlon Women's 15 kilometres,NA
128187,Synnøve Solemdal,F,28,175,70,Norway,NOR,2018,PyeongChang,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,NA
137637,Jeong Jae-Ung,M,18,174,71,Republic of Korea,KOR,2018,PyeongChang,Speed Skating,"Speed Skating Men's 1,000 metres",NA
137762,Willis Feasey,M,25,175,85,New Zealand,NZL,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Super G,NA
137762,Willis Feasey,M,25,175,85,New Zealand,NZL,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
137762,Willis Feasey,M,25,175,85,New Zealand,NZL,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Slalom,NA
136971,Guo Dan,F,27,160,54,China,CHN,2018,PyeongChang,Speed Skating,Speed Skating Women's Mass Start,NA
136971,Guo Dan,F,31,160,54,China,CHN,2022,Beijing,Speed Skating,Speed Skating Women's Mass Start,NA
128820,Torgeir Bergrem,M,26,178,73,Norway,NOR,2018,PyeongChang,Snowboarding,Snowboarding Men's Slopestyle,NA
128820,Torgeir Bergrem,M,26,178,73,Norway,NOR,2018,PyeongChang,Snowboarding,Snowboarding Men's Big Air,NA
147856,Mika Vermeulen,M,22,NA,NA,Austria,AUT,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
147856,Mika Vermeulen,M,22,NA,NA,Austria,AUT,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres Skiathlon,NA
119263,Korbinian Holzer,M,33,190,93,Germany,GER,2022,Beijing,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
148111,Zhao Jiawen,M,21,NA,NA,China,CHN,2022,Beijing,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",NA
148111,Zhao Jiawen,M,21,NA,NA,China,CHN,2022,Beijing,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
148111,Zhao Jiawen,M,21,NA,NA,China,CHN,2022,Beijing,Nordic Combined,Nordic Combined Men's Team,NA
148111,Zhao Jiawen,M,21,NA,NA,China,CHN,2022,Beijing,Nordic Combined,"Nordic Combined Mixed's Normal Hill, Team",NA
136988,Laura Gómez,F,27,167,59,Colombia,COL,2018,PyeongChang,Speed Skating,Speed Skating Women's Mass Start,NA
136988,Laura Gómez,F,31,167,59,Colombia,COL,2022,Beijing,Speed Skating,Speed Skating Women's Mass Start,NA
128026,Ayaka Kikuchi,F,30,169,60,Japan,JPN,2018,PyeongChang,Speed Skating,"Speed Skating Women's 1,500 metres",NA
128026,Ayaka Kikuchi,F,30,169,60,Japan,JPN,2018,PyeongChang,Speed Skating,"Speed Skating Women's 3,000 metres",NA
128026,Ayaka Kikuchi,F,30,169,60,Japan,JPN,2018,PyeongChang,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
148002,Alexandria Loutitt,F,18,164,NA,Canada,CAN,2022,Beijing,Ski Jumping,"Ski Jumping Mixed's Normal Hill, Team",Bronze
148002,Alexandria Loutitt,F,18,164,NA,Canada,CAN,2022,Beijing,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",NA
